mes,estacion_mm,imerg_mm,cmorph_mm
1,64.1375,72.420498272117,33.661499506
2,43.82222222222222,62.427498700319994,34.627499519000004
3,83.47777777777777,100.763997672838,75.15149902900001
4,90.26666666666668,105.94299746740599,100.21249849350001
5,111.85555555555555,114.357497448956,97.6169984085
6,95.38888888888889,114.172997398176,118.27899790669998
7,94.87777777777778,128.443496909093,119.4824980174
8,74.01,95.255497744293,83.9769984414
9,77.71000000000001,74.34499809724801,68.9399988408
10,79.94,81.375498166997,71.155998729
11,66.7,77.457498385302,69.5584989705
12,62.58888888888888,80.626998061938,67.6159991225
