fuente,duracion_min,periodo_retorno_anios,metodo,intensidad_mm_h,intensidad_estacion_mm_h,diferencia_vs_estacion_pct
cmorph,30,2,Gumbel,34.23968225606981,54.19542664194058,-36.82182357879527
estacion,30,2,Gumbel,54.19542664194058,54.19542664194058,0.0
imerg,30,2,Gumbel,24.56516623723694,54.19542664194058,-54.67299039910771
cmorph,60,2,Gumbel,23.328055676659694,32.62240744499819,-28.49069856051824
estacion,60,2,Gumbel,32.62240744499819,32.62240744499819,0.0
imerg,60,2,Gumbel,19.4455087562998,32.62240744499819,-40.39217127342552
cmorph,120,2,Gumbel,16.24967435130181,18.26465557707457,-11.032133714593147
estacion,120,2,Gumbel,18.26465557707457,18.26465557707457,0.0
imerg,120,2,Gumbel,14.65765113176003,18.26465557707457,-19.74854893974557
cmorph,360,2,Gumbel,8.525021722053614,7.472265968909885,14.088842093201261
estacion,360,2,Gumbel,7.472265968909885,7.472265968909885,0.0
imerg,360,2,Gumbel,7.340426667798797,7.472265968909885,-1.76438180412256
cmorph,1440,2,Gumbel,2.9183105659786586,2.4771246539998484,17.81040414201284
estacion,1440,2,Gumbel,2.4771246539998484,2.4771246539998484,0.0
imerg,1440,2,Gumbel,2.6924550403406173,2.4771246539998484,8.692755368328838
cmorph,30,10,Gumbel,59.160571167595975,62.640682961712905,-5.555673453056116
estacion,30,10,Gumbel,62.640682961712905,62.640682961712905,0.0
imerg,30,10,Gumbel,40.022346549625425,62.640682961712905,-36.10806163450071
cmorph,60,10,Gumbel,34.472280642092706,38.85945392051886,-11.289847992716146
estacion,60,10,Gumbel,38.85945392051886,38.85945392051886,0.0
imerg,60,10,Gumbel,28.99868703906482,38.85945392051886,-25.375464363505333
cmorph,120,10,Gumbel,25.942192707710532,25.286275331981617,2.5939659642134916
estacion,120,10,Gumbel,25.286275331981617,25.286275331981617,0.0
imerg,120,10,Gumbel,22.260460199219214,25.286275331981617,-11.96623501499016
cmorph,360,10,Gumbel,14.228321445356663,9.746815724260683,45.9791776912445
estacion,360,10,Gumbel,9.746815724260683,9.746815724260683,0.0
imerg,360,10,Gumbel,10.440563218971871,9.746815724260683,7.117683501334585
cmorph,1440,10,Gumbel,4.307506637766975,3.2255485293177815,33.54338335371544
estacion,1440,10,Gumbel,3.2255485293177815,3.2255485293177815,0.0
imerg,1440,10,Gumbel,3.6960903745508586,3.2255485293177815,14.587963596151473
cmorph,30,25,Gumbel,71.70355896468116,66.89128362600813,7.194174005657684
