fuente,anio,duracion_min,max_acumulado_mm,intensidad_mm_h
estacion,2015,5,10.2,122.39999999999999
estacion,2016,5,7.9,94.80000000000001
estacion,2017,5,9.5,114.0
estacion,2018,5,7.5,90.0
estacion,2019,5,8.2,98.39999999999999
estacion,2020,5,7.9,94.80000000000001
estacion,2021,5,9.7,116.39999999999999
estacion,2022,5,10.1,121.2
estacion,2023,5,9.2,110.39999999999999
estacion,2024,5,14.0,168.0
estacion,2015,10,15.200000000000001,91.20000000000002
estacion,2016,10,14.100000000000001,84.60000000000001
estacion,2017,10,17.0,102.0
estacion,2018,10,14.299999999999999,85.8
estacion,2019,10,14.899999999999999,89.39999999999999
estacion,2020,10,12.199999999999998,73.19999999999999
estacion,2021,10,16.699999999999996,100.19999999999997
estacion,2022,10,15.299999999999997,91.79999999999998
estacion,2023,10,12.599999999999996,75.59999999999998
estacion,2024,10,21.299999999999997,127.79999999999998
estacion,2015,15,21.5,86.0
estacion,2016,15,19.200000000000003,76.80000000000001
estacion,2017,15,21.400000000000006,85.60000000000002
estacion,2018,15,20.800000000000004,83.20000000000002
estacion,2019,15,19.10000000000001,76.40000000000003
estacion,2020,15,18.10000000000001,72.40000000000003
estacion,2021,15,21.400000000000006,85.60000000000002
estacion,2022,15,19.300000000000008,77.20000000000003
estacion,2023,15,16.60000000000001,66.40000000000003
estacion,2024,15,24.10000000000001,96.40000000000003
estacion,2015,30,29.400000000000002,58.800000000000004
estacion,2016,30,30.100000000000005,60.20000000000001
estacion,2017,30,27.800000000000008,55.600000000000016
estacion,2018,30,27.400000000000006,54.80000000000001
estacion,2019,30,24.200000000000006,48.40000000000001
estacion,2020,30,26.40000000000001,52.80000000000002
estacion,2021,30,29.00000000000001,58.00000000000002
estacion,2022,30,31.900000000000013,63.800000000000026
estacion,2023,30,22.00000000000001,44.00000000000002
estacion,2024,30,27.500000000000007,55.000000000000014
estacion,2015,60,31.1,31.1
estacion,2016,60,36.70000000000001,36.70000000000001
estacion,2017,60,39.10000000000001,39.10000000000001
estacion,2018,60,29.500000000000007,29.500000000000007
estacion,2019,60,26.60000000000001,26.60000000000001
estacion,2020,60,39.90000000000001,39.90000000000001
estacion,2021,60,30.600000000000012,30.600000000000012
estacion,2022,60,34.40000000000001,34.40000000000001
estacion,2023,60,32.600000000000016,32.600000000000016
estacion,2024,60,32.70000000000001,32.70000000000001
estacion,2015,120,31.1,15.55
estacion,2016,120,39.800000000000004,19.900000000000002
estacion,2017,120,41.6,20.8
estacion,2018,120,35.400000000000006,17.700000000000003
estacion,2019,120,28.900000000000006,14.450000000000003
estacion,2020,120,63.2,31.6
estacion,2021,120,33.9,16.95
estacion,2022,120,36.50000000000001,18.250000000000004
estacion,2023,120,34.7,17.35
estacion,2024,120,35.900000000000006,17.950000000000003
estacion,2015,360,31.6,5.266666666666667
estacion,2016,360,43.5,7.25
estacion,2017,360,53.400000000000006,8.9
estacion,2018,360,47.300000000000004,7.883333333333334
estacion,2019,360,50.10000000000001,8.350000000000001
estacion,2020,360,64.0,10.666666666666666
estacion,2021,360,38.6,6.433333333333334
estacion,2022,360,37.0,6.166666666666667
estacion,2023,360,46.5,7.75
estacion,2024,360,51.6,8.6
estacion,2015,1440,68.0,2.8333333333333335
estacion,2016,1440,43.5,1.8125
estacion,2017,1440,62.1,2.5875
estacion,2018,1440,75.5,3.1458333333333335
estacion,2019,1440,64.9,2.704166666666667
estacion,2020,1440,64.0,2.6666666666666665
estacion,2021,1440,60.6,2.525
estacion,2022,1440,45.9,1.9124999999999999
estacion,2023,1440,49.3,2.0541666666666667
estacion,2024,1440,80.8,3.3666666666666667
